asfasfasd
Time Stamp,HR Status,Heart Rate(bpm),RR
00:25:36,LOCKED,54,1.06189
00:25:36,LOCKED,54,1.06189
00:25:37,LOCKED,54,1.07848
00:25:37,LOCKED,54,1.07848
00:25:37,LOCKED,54,1.07848
00:25:38,LOCKED,54,1.09507
00:25:38,LOCKED,54,1.09507
00:25:39,LOCKED,54,1.07848
00:25:39,LOCKED,54,1.07848
00:25:40,LOCKED,54,1.02870
00:25:40,LOCKED,54,1.02870
00:25:41,LOCKED,54,1.02870
00:25:41,LOCKED,60,1.02870
00:25:42,LOCKED,60,1.06189
00:25:42,LOCKED,59,1.06189
00:25:43,LOCKED,59,1.06189
00:25:43,LOCKED,59,1.06189
00:25:44,LOCKED,59,1.06189
00:25:44,LOCKED,59,1.06189
00:25:46,LOCKED,59,1.07848
00:25:46,LOCKED,59,1.07848
00:25:47,LOCKED,59,1.06189
00:25:47,LOCKED,58,1.06189
00:25:48,LOCKED,58,1.09507
00:25:48,LOCKED,58,1.09507
00:25:49,LOCKED,58,1.06189
00:25:49,LOCKED,58,1.06189
00:25:50,LOCKED,58,1.04530
00:25:50,LOCKED,61,1.04530
00:25:51,LOCKED,61,1.06189
00:25:51,LOCKED,60,1.06189
00:25:52,LOCKED,60,1.09507
00:25:52,LOCKED,60,1.09507
00:25:52,LOCKED,60,1.09507
00:25:53,LOCKED,60,1.09507
00:25:53,LOCKED,60,1.09507
00:25:54,LOCKED,60,1.09507
00:25:54,LOCKED,59,1.09507
00:25:55,LOCKED,59,1.09507
00:25:55,LOCKED,59,1.09507
00:25:56,LOCKED,59,1.07848
00:25:56,LOCKED,58,1.07848
00:25:57,LOCKED,58,1.11166
00:25:57,LOCKED,58,1.11166
00:25:59,LOCKED,58,1.07848
00:25:59,LOCKED,58,1.07848
00:26:00,LOCKED,58,1.09507
00:26:00,LOCKED,57,1.09507
00:26:01,LOCKED,57,1.09507
00:26:01,LOCKED,57,1.09507
00:26:02,LOCKED,57,1.07848
00:26:02,LOCKED,56,1.07848
00:26:03,LOCKED,56,1.07848
00:26:03,LOCKED,56,1.07848
00:26:03,LOCKED,56,1.07848
00:26:04,LOCKED,56,1.09507
00:26:04,LOCKED,56,1.09507
00:26:05,LOCKED,56,1.07848
00:26:05,LOCKED,55,1.07848
00:26:06,LOCKED,55,1.07848
00:26:06,LOCKED,55,1.07848
00:26:07,LOCKED,55,1.06189
00:26:07,LOCKED,55,1.06189
00:26:08,LOCKED,55,1.07848
00:26:08,LOCKED,55,0.03318
00:26:08,LOCKED,55,0.03318
00:26:09,LOCKED,55,1.14485
00:26:09,LOCKED,54,1.14485
00:26:10,LOCKED,54,1.02870
00:26:10,LOCKED,60,1.02870
00:26:11,LOCKED,60,0.97893
00:26:11,LOCKED,59,0.97893
00:26:12,LOCKED,59,0.96234
00:26:12,LOCKED,59,0.96234
00:26:13,LOCKED,59,0.99552
00:26:13,LOCKED,60,0.99552
00:26:14,LOCKED,60,0.99552
00:26:14,LOCKED,60,0.99552
00:26:15,LOCKED,60,1.02870
00:26:15,LOCKED,61,1.02870
00:26:16,LOCKED,61,1.06189
00:26:16,LOCKED,60,1.06189
00:26:18,LOCKED,60,1.11166
00:26:18,LOCKED,60,1.11166
00:26:19,LOCKED,60,1.21122
00:26:19,LOCKED,60,1.21122
00:26:19,LOCKED,60,1.21122
00:26:20,LOCKED,60,1.17803
00:26:20,LOCKED,59,1.17803
00:26:21,LOCKED,59,1.16144
00:26:21,LOCKED,58,1.16144
00:26:22,LOCKED,58,1.12826
00:26:22,LOCKED,58,1.12826
00:26:23,LOCKED,58,1.11166
00:26:23,LOCKED,57,1.11166
00:26:24,LOCKED,57,1.09507
00:26:24,LOCKED,57,1.09507
00:26:26,LOCKED,57,1.09507
00:26:26,LOCKED,56,1.09507
00:26:27,LOCKED,56,1.09507
00:26:27,LOCKED,56,1.09507
00:26:27,LOCKED,56,1.09507
00:26:28,LOCKED,56,1.16144
00:26:28,LOCKED,56,1.16144
00:26:29,LOCKED,56,1.16144
00:26:29,LOCKED,55,1.16144
00:26:30,LOCKED,55,1.14485
00:26:30,LOCKED,53,1.14485
00:26:31,LOCKED,53,1.11166
00:26:31,LOCKED,53,1.11166
00:26:32,LOCKED,53,1.12826
00:26:32,LOCKED,53,1.12826
00:26:34,LOCKED,53,1.12826
00:26:34,LOCKED,53,1.12826
00:26:35,LOCKED,53,1.14485
00:26:35,LOCKED,53,1.14485
00:26:35,LOCKED,53,1.14485
00:26:36,LOCKED,53,1.14485
00:26:36,LOCKED,53,1.14485
00:26:37,LOCKED,53,1.09507
00:26:37,LOCKED,52,1.09507
00:26:38,LOCKED,52,1.11166
00:26:38,LOCKED,53,1.11166
00:26:39,LOCKED,53,1.12826
00:26:39,LOCKED,53,1.12826
00:26:40,LOCKED,53,1.14485
00:26:40,LOCKED,53,1.14485
00:26:41,LOCKED,53,1.14485
00:26:41,LOCKED,53,1.14485
00:26:43,LOCKED,53,1.07848
00:26:43,LOCKED,53,1.07848
00:26:44,LOCKED,53,1.09507
00:26:44,LOCKED,53,1.09507
00:26:45,LOCKED,53,1.12826
00:26:45,LOCKED,53,1.12826
00:26:45,LOCKED,53,1.12826
00:26:46,LOCKED,53,1.12826
00:26:46,LOCKED,53,1.12826
00:26:47,LOCKED,53,1.11166
00:26:47,LOCKED,53,1.11166
00:26:48,LOCKED,53,1.14485
00:26:48,LOCKED,53,1.14485
00:26:49,LOCKED,53,1.14485
00:26:49,LOCKED,53,1.14485
00:26:50,LOCKED,53,1.17803
00:26:50,LOCKED,53,1.17803
00:26:52,LOCKED,53,1.12826
00:26:52,LOCKED,53,1.12826
00:26:53,LOCKED,53,1.07848
00:26:53,LOCKED,53,1.07848
00:26:53,LOCKED,53,1.07848
00:26:54,LOCKED,53,1.07848
00:26:54,LOCKED,53,1.07848
00:26:55,LOCKED,53,1.12826
00:26:55,LOCKED,53,1.12826
00:26:56,LOCKED,53,1.12826
00:26:56,LOCKED,53,1.12826
00:26:57,LOCKED,53,1.07848
00:26:57,LOCKED,53,1.07848
00:26:58,LOCKED,53,1.16144
00:26:58,LOCKED,53,1.16144
00:26:59,LOCKED,53,1.14485
00:26:59,LOCKED,53,1.14485
00:27:01,LOCKED,53,1.12826
00:27:01,LOCKED,53,1.12826
00:27:02,LOCKED,53,1.07848
00:27:02,LOCKED,53,1.07848
00:27:03,LOCKED,53,1.09507
00:27:03,LOCKED,53,1.09507
00:27:03,LOCKED,53,1.09507
00:27:04,LOCKED,53,1.12826
00:27:04,LOCKED,53,1.12826
00:27:05,LOCKED,53,1.11166
00:27:05,LOCKED,53,1.11166
00:27:06,LOCKED,53,1.09507
00:27:06,LOCKED,53,1.09507
00:27:07,LOCKED,53,1.09507
00:27:07,LOCKED,53,1.09507
00:27:08,LOCKED,53,1.11166
00:27:08,LOCKED,53,1.11166
00:27:09,LOCKED,53,1.09507
00:27:09,LOCKED,53,1.09507
00:27:10,LOCKED,53,1.02870
00:27:10,LOCKED,54,1.02870
00:27:11,LOCKED,54,1.09507
00:27:11,LOCKED,54,1.09507
00:27:13,LOCKED,54,1.12826
00:27:13,LOCKED,54,1.12826
00:27:13,LOCKED,54,1.12826
00:27:14,LOCKED,54,1.12826
